TIMESTAMP,GROUP,TYPE,VALUE
1961-01-01T00:00:00.Z,Quebec,Trucks,5222
1961-02-01T00:00:00.Z,Quebec,Trucks,5089
1961-03-01T00:00:00.Z,Quebec,Trucks,5519
1961-04-01T00:00:00.Z,Quebec,Trucks,6610
1961-05-01T00:00:00.Z,Quebec,Trucks,6998
1961-06-01T00:00:00.Z,Quebec,Trucks,5827
1961-07-01T00:00:00.Z,Quebec,Trucks,4323
1961-08-01T00:00:00.Z,Quebec,Trucks,4020
1961-09-01T00:00:00.Z,Quebec,Trucks,4885
1961-10-01T00:00:00.Z,Quebec,Trucks,5370
1961-11-01T00:00:00.Z,Quebec,Trucks,5528
1961-12-01T00:00:00.Z,Quebec,Trucks,4144
1962-01-01T00:00:00.Z,Quebec,Trucks,5307
1962-02-01T00:00:00.Z,Quebec,Trucks,5358
1962-03-01T00:00:00.Z,Quebec,Trucks,5592
1962-04-01T00:00:00.Z,Quebec,Trucks,6042
1962-05-01T00:00:00.Z,Quebec,Trucks,8106
1962-06-01T00:00:00.Z,Quebec,Trucks,7857
1962-07-01T00:00:00.Z,Quebec,Trucks,6252
1962-08-01T00:00:00.Z,Quebec,Trucks,5567
1962-09-01T00:00:00.Z,Quebec,Trucks,4215
1962-10-01T00:00:00.Z,Quebec,Trucks,5466
1962-11-01T00:00:00.Z,Quebec,Trucks,5456
1962-12-01T00:00:00.Z,Quebec,Trucks,5179
1963-01-01T00:00:00.Z,Quebec,Trucks,5685
1963-02-01T00:00:00.Z,Quebec,Trucks,5293
1963-03-01T00:00:00.Z,Quebec,Trucks,5997
1963-04-01T00:00:00.Z,Quebec,Trucks,7731
1963-05-01T00:00:00.Z,Quebec,Trucks,8281
1963-06-01T00:00:00.Z,Quebec,Trucks,7233
1963-07-01T00:00:00.Z,Quebec,Trucks,6728
1963-08-01T00:00:00.Z,Quebec,Trucks,4863
1963-09-01T00:00:00.Z,Quebec,Trucks,5515
1963-10-01T00:00:00.Z,Quebec,Trucks,6926
1963-11-01T00:00:00.Z,Quebec,Trucks,6640
1963-12-01T00:00:00.Z,Quebec,Trucks,6521
1964-01-01T00:00:00.Z,Quebec,Trucks,6718
1964-02-01T00:00:00.Z,Quebec,Trucks,5769
1964-03-01T00:00:00.Z,Quebec,Trucks,7553
1964-04-01T00:00:00.Z,Quebec,Trucks,8374
1964-05-01T00:00:00.Z,Quebec,Trucks,8858
1964-06-01T00:00:00.Z,Quebec,Trucks,8844
1964-07-01T00:00:00.Z,Quebec,Trucks,7950
1964-08-01T00:00:00.Z,Quebec,Trucks,5098
1964-09-01T00:00:00.Z,Quebec,Trucks,6137
1964-10-01T00:00:00.Z,Quebec,Trucks,7666
1964-11-01T00:00:00.Z,Quebec,Trucks,6833
1964-12-01T00:00:00.Z,Quebec,Trucks,6394
1965-01-01T00:00:00.Z,Quebec,Trucks,6436
1965-02-01T00:00:00.Z,Quebec,Trucks,5747
1965-03-01T00:00:00.Z,Quebec,Trucks,7393
1965-04-01T00:00:00.Z,Quebec,Trucks,8952
1965-05-01T00:00:00.Z,Quebec,Trucks,9847
1965-06-01T00:00:00.Z,Quebec,Trucks,10590
1965-07-01T00:00:00.Z,Quebec,Trucks,7458
1965-08-01T00:00:00.Z,Quebec,Trucks,8180
1965-09-01T00:00:00.Z,Quebec,Trucks,7239
1965-10-01T00:00:00.Z,Quebec,Trucks,6806
1965-11-01T00:00:00.Z,Quebec,Trucks,9112
1965-12-01T00:00:00.Z,Quebec,Trucks,10052
1966-01-01T00:00:00.Z,Quebec,Trucks,6832
1966-02-01T00:00:00.Z,Quebec,Trucks,7045
1966-03-01T00:00:00.Z,Quebec,Trucks,9434
1966-04-01T00:00:00.Z,Quebec,Trucks,9213
1966-05-01T00:00:00.Z,Quebec,Trucks,9611
1966-06-01T00:00:00.Z,Quebec,Trucks,10816
1966-07-01T00:00:00.Z,Quebec,Trucks,7524
1966-08-01T00:00:00.Z,Quebec,Trucks,8862
1966-09-01T00:00:00.Z,Quebec,Trucks,7183
1966-10-01T00:00:00.Z,Quebec,Trucks,7488
1966-11-01T00:00:00.Z,Quebec,Trucks,8574
1966-12-01T00:00:00.Z,Quebec,Trucks,7346
1967-01-01T00:00:00.Z,Quebec,Trucks,6845
1967-02-01T00:00:00.Z,Quebec,Trucks,7016
